"cohort_week","week_number","unique_users"
"2020-09-21 00:00:00",0,7691
"2020-09-21 00:00:00",1,428
"2020-09-21 00:00:00",2,202
"2020-09-21 00:00:00",3,138
"2020-09-21 00:00:00",4,127
"2020-09-21 00:00:00",5,91
"2020-09-21 00:00:00",6,69
"2020-09-21 00:00:00",7,65
"2020-09-21 00:00:00",8,54
"2020-09-21 00:00:00",9,38
"2020-09-21 00:00:00",10,30
"2020-09-21 00:00:00",11,24
"2020-09-21 00:00:00",12,23
"2020-09-21 00:00:00",13,22
"2020-09-21 00:00:00",14,17
"2020-09-21 00:00:00",15,22
"2020-09-21 00:00:00",16,13
"2020-09-21 00:00:00",17,18
"2020-09-21 00:00:00",18,7
"2020-09-21 00:00:00",19,16
"2020-09-21 00:00:00",20,16
"2020-09-21 00:00:00",21,14
"2020-09-21 00:00:00",22,8
"2020-09-28 00:00:00",0,16563
"2020-09-28 00:00:00",1,509
"2020-09-28 00:00:00",2,226
"2020-09-28 00:00:00",3,195
"2020-09-28 00:00:00",4,118
"2020-09-28 00:00:00",5,102
"2020-09-28 00:00:00",6,86
"2020-09-28 00:00:00",7,65
"2020-09-28 00:00:00",8,55
"2020-09-28 00:00:00",9,50
"2020-09-28 00:00:00",10,39
"2020-09-28 00:00:00",11,31
"2020-09-28 00:00:00",12,31
"2020-09-28 00:00:00",13,19
"2020-09-28 00:00:00",14,28
"2020-09-28 00:00:00",15,36
"2020-09-28 00:00:00",16,22
"2020-09-28 00:00:00",17,24
"2020-09-28 00:00:00",18,28
"2020-09-28 00:00:00",19,19
"2020-09-28 00:00:00",20,21
"2020-09-28 00:00:00",21,13
"2020-10-05 00:00:00",0,15982
"2020-10-05 00:00:00",1,445
"2020-10-05 00:00:00",2,179
"2020-10-05 00:00:00",3,126
"2020-10-05 00:00:00",4,103
"2020-10-05 00:00:00",5,86
"2020-10-05 00:00:00",6,71
"2020-10-05 00:00:00",7,50
"2020-10-05 00:00:00",8,39
"2020-10-05 00:00:00",9,32
"2020-10-05 00:00:00",10,24
"2020-10-05 00:00:00",11,31
"2020-10-05 00:00:00",12,17
"2020-10-05 00:00:00",13,22
"2020-10-05 00:00:00",14,30
"2020-10-05 00:00:00",15,20
"2020-10-05 00:00:00",16,25
"2020-10-05 00:00:00",17,18
"2020-10-05 00:00:00",18,15
"2020-10-05 00:00:00",19,15
"2020-10-05 00:00:00",20,12
"2020-10-12 00:00:00",0,19143
"2020-10-12 00:00:00",1,518
"2020-10-12 00:00:00",2,210
"2020-10-12 00:00:00",3,174
"2020-10-12 00:00:00",4,106
"2020-10-12 00:00:00",5,85
"2020-10-12 00:00:00",6,49
"2020-10-12 00:00:00",7,36
"2020-10-12 00:00:00",8,32
"2020-10-12 00:00:00",9,30
"2020-10-12 00:00:00",10,30
"2020-10-12 00:00:00",11,26
"2020-10-12 00:00:00",12,27
"2020-10-12 00:00:00",13,32
"2020-10-12 00:00:00",14,20
"2020-10-12 00:00:00",15,24
"2020-10-12 00:00:00",16,26
"2020-10-12 00:00:00",17,14
"2020-10-12 00:00:00",18,15
"2020-10-12 00:00:00",19,13
"2020-10-19 00:00:00",0,21095
"2020-10-19 00:00:00",1,558
"2020-10-19 00:00:00",2,264
"2020-10-19 00:00:00",3,182
"2020-10-19 00:00:00",4,133
"2020-10-19 00:00:00",5,93
"2020-10-19 00:00:00",6,83
"2020-10-19 00:00:00",7,54
"2020-10-19 00:00:00",8,52
"2020-10-19 00:00:00",9,48
"2020-10-19 00:00:00",10,28
"2020-10-19 00:00:00",11,43
"2020-10-19 00:00:00",12,40
"2020-10-19 00:00:00",13,29
"2020-10-19 00:00:00",14,31
"2020-10-19 00:00:00",15,29
"2020-10-19 00:00:00",16,26
"2020-10-19 00:00:00",17,32
"2020-10-19 00:00:00",18,23
"2020-10-26 00:00:00",0,20860
"2020-10-26 00:00:00",1,614
"2020-10-26 00:00:00",2,285
"2020-10-26 00:00:00",3,207
"2020-10-26 00:00:00",4,129
"2020-10-26 00:00:00",5,93
"2020-10-26 00:00:00",6,90
"2020-10-26 00:00:00",7,64
"2020-10-26 00:00:00",8,58
"2020-10-26 00:00:00",9,44
"2020-10-26 00:00:00",10,37
"2020-10-26 00:00:00",11,45
"2020-10-26 00:00:00",12,30
"2020-10-26 00:00:00",13,34
"2020-10-26 00:00:00",14,39
"2020-10-26 00:00:00",15,25
"2020-10-26 00:00:00",16,24
"2020-10-26 00:00:00",17,18
"2020-11-02 00:00:00",0,22133
"2020-11-02 00:00:00",1,695
"2020-11-02 00:00:00",2,259
"2020-11-02 00:00:00",3,145
"2020-11-02 00:00:00",4,95
"2020-11-02 00:00:00",5,80
"2020-11-02 00:00:00",6,75
"2020-11-02 00:00:00",7,57
"2020-11-02 00:00:00",8,39
"2020-11-02 00:00:00",9,43
"2020-11-02 00:00:00",10,48
"2020-11-02 00:00:00",11,43
"2020-11-02 00:00:00",12,29
"2020-11-02 00:00:00",13,41
"2020-11-02 00:00:00",14,26
"2020-11-02 00:00:00",15,30
"2020-11-02 00:00:00",16,32
"2020-11-09 00:00:00",0,22667
"2020-11-09 00:00:00",1,720
"2020-11-09 00:00:00",2,245
"2020-11-09 00:00:00",3,147
"2020-11-09 00:00:00",4,115
"2020-11-09 00:00:00",5,95
"2020-11-09 00:00:00",6,81
"2020-11-09 00:00:00",7,50
"2020-11-09 00:00:00",8,51
"2020-11-09 00:00:00",9,72
"2020-11-09 00:00:00",10,57
"2020-11-09 00:00:00",11,43
"2020-11-09 00:00:00",12,36
"2020-11-09 00:00:00",13,35
"2020-11-09 00:00:00",14,37
"2020-11-09 00:00:00",15,30
"2020-11-16 00:00:00",0,23540
"2020-11-16 00:00:00",1,638
"2020-11-16 00:00:00",2,223
"2020-11-16 00:00:00",3,173
"2020-11-16 00:00:00",4,115
"2020-11-16 00:00:00",5,94
"2020-11-16 00:00:00",6,60
"2020-11-16 00:00:00",7,65
"2020-11-16 00:00:00",8,80
"2020-11-16 00:00:00",9,66
"2020-11-16 00:00:00",10,61
"2020-11-16 00:00:00",11,49
"2020-11-16 00:00:00",12,51
"2020-11-16 00:00:00",13,56
"2020-11-16 00:00:00",14,40
"2020-11-23 00:00:00",0,16596
"2020-11-23 00:00:00",1,447
"2020-11-23 00:00:00",2,172
"2020-11-23 00:00:00",3,115
"2020-11-23 00:00:00",4,82
"2020-11-23 00:00:00",5,63
"2020-11-23 00:00:00",6,39
"2020-11-23 00:00:00",7,54
"2020-11-23 00:00:00",8,36
"2020-11-23 00:00:00",9,45
"2020-11-23 00:00:00",10,41
"2020-11-23 00:00:00",11,41
"2020-11-23 00:00:00",12,46
"2020-11-23 00:00:00",13,29
"2020-11-30 00:00:00",0,14997
"2020-11-30 00:00:00",1,395
"2020-11-30 00:00:00",2,166
"2020-11-30 00:00:00",3,100
"2020-11-30 00:00:00",4,63
"2020-11-30 00:00:00",5,54
"2020-11-30 00:00:00",6,52
"2020-11-30 00:00:00",7,54
"2020-11-30 00:00:00",8,48
"2020-11-30 00:00:00",9,57
"2020-11-30 00:00:00",10,43
"2020-11-30 00:00:00",11,39
"2020-11-30 00:00:00",12,27
"2020-12-07 00:00:00",0,16042
"2020-12-07 00:00:00",1,467
"2020-12-07 00:00:00",2,188
"2020-12-07 00:00:00",3,104
"2020-12-07 00:00:00",4,97
"2020-12-07 00:00:00",5,102
"2020-12-07 00:00:00",6,77
"2020-12-07 00:00:00",7,60
"2020-12-07 00:00:00",8,64
"2020-12-07 00:00:00",9,54
"2020-12-07 00:00:00",10,36
"2020-12-07 00:00:00",11,43
"2020-12-14 00:00:00",0,16567
"2020-12-14 00:00:00",1,485
"2020-12-14 00:00:00",2,145
"2020-12-14 00:00:00",3,124
"2020-12-14 00:00:00",4,117
"2020-12-14 00:00:00",5,87
"2020-12-14 00:00:00",6,68
"2020-12-14 00:00:00",7,65
"2020-12-14 00:00:00",8,45
"2020-12-14 00:00:00",9,40
"2020-12-14 00:00:00",10,41
"2020-12-21 00:00:00",0,16577
"2020-12-21 00:00:00",1,451
"2020-12-21 00:00:00",2,185
"2020-12-21 00:00:00",3,156
"2020-12-21 00:00:00",4,103
"2020-12-21 00:00:00",5,81
"2020-12-21 00:00:00",6,55
"2020-12-21 00:00:00",7,54
"2020-12-21 00:00:00",8,46
"2020-12-21 00:00:00",9,30
"2020-12-28 00:00:00",0,13520
"2020-12-28 00:00:00",1,434
"2020-12-28 00:00:00",2,191
"2020-12-28 00:00:00",3,121
"2020-12-28 00:00:00",4,96
"2020-12-28 00:00:00",5,89
"2020-12-28 00:00:00",6,53
"2020-12-28 00:00:00",7,46
"2020-12-28 00:00:00",8,36
"2021-01-04 00:00:00",0,17244
"2021-01-04 00:00:00",1,583
"2021-01-04 00:00:00",2,223
"2021-01-04 00:00:00",3,167
"2021-01-04 00:00:00",4,118
"2021-01-04 00:00:00",5,89
"2021-01-04 00:00:00",6,74
"2021-01-04 00:00:00",7,61
"2021-01-11 00:00:00",0,18963
"2021-01-11 00:00:00",1,685
"2021-01-11 00:00:00",2,273
"2021-01-11 00:00:00",3,178
"2021-01-11 00:00:00",4,137
"2021-01-11 00:00:00",5,101
"2021-01-11 00:00:00",6,97
"2021-01-18 00:00:00",0,18550
"2021-01-18 00:00:00",1,637
"2021-01-18 00:00:00",2,279
"2021-01-18 00:00:00",3,173
"2021-01-18 00:00:00",4,126
"2021-01-18 00:00:00",5,99
"2021-01-25 00:00:00",0,17722
"2021-01-25 00:00:00",1,590
"2021-01-25 00:00:00",2,243
"2021-01-25 00:00:00",3,145
"2021-01-25 00:00:00",4,114
"2021-02-01 00:00:00",0,19270
"2021-02-01 00:00:00",1,489
"2021-02-01 00:00:00",2,208
"2021-02-01 00:00:00",3,131
"2021-02-08 00:00:00",0,17900
"2021-02-08 00:00:00",1,546
"2021-02-08 00:00:00",2,205
"2021-02-15 00:00:00",0,17308
"2021-02-15 00:00:00",1,506
"2021-02-22 00:00:00",0,16353
